NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",0,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","1","",0,,
"Valéria Lima","LIMA, Valéria","2","",0,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",1,,
"Ilza Zenker Joly","JOLY, I. Z.","1","",1,,
"Isamara Alves Carvalho","CARVALHO, I. A.","3","",1,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",2,,
"Ilza Zenker Joly","JOLY, I. Z.","1","",2,,
"Sara Regina Moreira da Silva","SILVA, S. R. M.","3","",2,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",3,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","1","",3,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",4,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","2","",4,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",5,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",6,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,0,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,1,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,2,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,3,
"Carlos Carvalho","CCARVALHO, C.","2","",,3,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,4,
"Carlos Fernando Fiorini","FIORINI, C. F.","1","",,4,
"Ricardo Goldemberg","GOLDEMBERG, R.","2","",,4,
