NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",0,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",1,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",2,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",3,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",4,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",5,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",6,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",7,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",8,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",9,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",10,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",11,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",12,,,,,
"Maurício Salomão","SALOMÃO, M.","2","",12,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",13,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",14,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",15,,,,,
